City,q,Q_bc_avg
Dalian,0.88,0.00029584711503123846
Dalian,0.89,0.0002664461595001837
Dalian,0.9,0.00024623300257258353
Dalian,0.91,0.00022510106578463798
Dalian,0.92,0.00022142594634325612
Dalian,0.93,0.00021591326718118335
Dalian,0.94,0.00019202499081220136
Dalian,0.95,0.00018559353178978317
Dalian,0.96,0.00016721793458287392
Dalian,0.97,0.00015251745681734655
Dalian,0.98,0.00013965453877251007
Dalian,0.99,0.0001221977214259463
Dalian,1.0,0.0
Dongguan,0.0,0.8351172579675286
Dongguan,0.01,0.8208689116055321
Dongguan,0.02,0.8043746241731808
Dongguan,0.03,0.7892889356584486
Dongguan,0.04,0.7733944678292242
Dongguan,0.05,0.756247745039086
Dongguan,0.06,0.7406449188214073
Dongguan,0.07,0.7186800962116655
Dongguan,0.08,0.700608839446783
Dongguan,0.09,0.683767288033674
Dongguan,0.1,0.6578532772098619
Dongguan,0.11,0.6273917618761276
Dongguan,0.12,0.6092754058929644
Dongguan,0.13,0.5694422730006012
Dongguan,0.14,0.5524158147925436
Dongguan,0.15,0.5008959711365003
Dongguan,0.16,0.47662958508719183
Dongguan,0.17,0.4426488274203247
Dongguan,0.18,0.4023165965123271
Dongguan,0.19,0.37257967528562835
Dongguan,0.2,0.33315093205051105
Dongguan,0.21,0.27742784125075165
Dongguan,0.22,0.2575841852074564
Dongguan,0.23,0.20491731809981956
Dongguan,0.24,0.1667077570655442
Dongguan,0.25,0.168970234515935
Dongguan,0.26,0.12062086590499096
Dongguan,0.27,0.09373421527360193
Dongguan,0.28,0.08034275405892964
Dongguan,0.29,0.06589597113650031
Dongguan,0.3,0.05569152134696333
Dongguan,0.31,0.038684606133493685
Dongguan,0.32,0.03493084786530366
Dongguan,0.33,0.03286229705351773
Dongguan,0.34,0.022291040288634992
Dongguan,0.35,0.026402585688514734
Dongguan,0.36,0.019703848466626574
Dongguan,0.37,0.013042693926638604
Dongguan,0.38,0.013953698135898982
Dongguan,0.39,0.012722489476849067
Dongguan,0.4,0.010879434756464221
Dongguan,0.41,0.009561034275405892
Dongguan,0.42,0.009269392663860492
Dongguan,0.43,0.007800661455201444
Dongguan,0.44,0.007758568851473242
Dongguan,0.45,0.006145520144317499
Dongguan,0.46,0.005141310883944679
Dongguan,0.47,0.004724894768490679
Dongguan,0.48,0.004715874924834636
Dongguan,0.49,0.0044903788334335545
Dongguan,0.5,0.0036981358989777507
Dongguan,0.51,0.0038334335538184007
Dongguan,0.52,0.0030156343956704757
Dongguan,0.53,0.003268190018039687
Dongguan,0.54,0.00273752254960914
Dongguan,0.55,0.0027465423932651833
Dongguan,0.56,0.002549609140108238
Dongguan,0.57,0.002285027059530968
Dongguan,0.58,0.0022925435959110048
Dongguan,0.59,0.0020565243535778715
Dongguan,0.6,0.0018956704750450995
Dongguan,0.61,0.0019287432351172578
Dongguan,0.62,0.0017648827420324714
Dongguan,0.63,0.0014687312086590497
Dongguan,0.64,0.0014762477450390862
Dongguan,0.65,0.0014055923030667468
Dongguan,0.66,0.0013514732411304873
Dongguan,0.67,0.0014717378232110643
Dongguan,0.68,0.0012657847263980759
Dongguan,0.69,0.0011034275405892966
Dongguan,0.7,0.0011455201443174984
Dongguan,0.71,0.0010853878532772101
Dongguan,0.72,0.0010387853277209866
Dongguan,0.73,0.0009305472038484665
Dongguan,0.74,0.0009200240529164159
Dongguan,0.75,0.0008764281419122068
Dongguan,0.76,0.0007666867107636803
Dongguan,0.77,0.0007531569452796153
Dongguan,0.78,0.0007426337943475646
Dongguan,0.79,0.0006840048105832832
Dongguan,0.8,0.0006043295249549008
Dongguan,0.81,0.0005968129885748646
Dongguan,0.82,0.000592303066746843
Dongguan,0.83,0.0005472038484666264
Dongguan,0.84,0.000515634395670475
Dongguan,0.85,0.0005111244738424534
Dongguan,0.86,0.00048556825015033087
Dongguan,0.87,0.00046151533373421535
Dongguan,0.88,0.00047955502104630196
Dongguan,0.89,0.0003983764281419122
Dongguan,0.9,0.0003728202044497895
Dongguan,0.91,0.00035628382441371014
Dongguan,0.92,0.0003367408298256163
Dongguan,0.93,0.0003427540589296452
Dongguan,0.94,0.0002856283824413711
Dongguan,0.95,0.000285628382441371
Dongguan,0.96,0.0002495490078171978
Dongguan,0.97,0.0002420324714371617
Dongguan,0.98,0.00021196632591701745
Dongguan,0.99,0.00017739025856885153
Dongguan,1.0,0.0
Harbin,0.0,0.8127388831919455
Harbin,0.01,0.7880616668220379
Harbin,0.02,0.7604083154656476
Harbin,0.03,0.7397478325720146
Harbin,0.04,0.6989978558776916
Harbin,0.05,0.6718141139181505
Harbin,0.06,0.6353547124079426
Harbin,0.07,0.6131269227183743
Harbin,0.08,0.5888097790621796
Harbin,0.09,0.5686037568751748
Harbin,0.1,0.5361657499766943
Harbin,0.11,0.5159702153444579
Harbin,0.12,0.48893796028712594
Harbin,0.13,0.46848373263727056
Harbin,0.14,0.45184697492309134
Harbin,0.15,0.42331150368229703
Harbin,0.16,0.4035424629439731
Harbin,0.17,0.38770975109536676
Harbin,0.18,0.36885079705416246
Harbin,0.19,0.3429931481308847
Harbin,0.2,0.3189078959634567
Harbin,0.21,0.2993672508623101
Harbin,0.22,0.27422858208259526
Harbin,0.23,0.254924489605668
Harbin,0.24,0.22980213480003725
Harbin,0.25,0.19542626083713993
Harbin,0.26,0.18130884683508902
Harbin,0.27,0.15422648457164162
Harbin,0.28,0.1442120350517386
Harbin,0.29,0.1156544234175445
Harbin,0.3,0.0970926167614431
Harbin,0.31,0.07102754731052484
Harbin,0.32,0.05390370094154936
Harbin,0.33,0.04528875734128834
Harbin,0.34,0.034486575929896526
Harbin,0.35,0.02768248345296915
Harbin,0.36,0.02439871352661509
Harbin,0.37,0.020944812156241256
Harbin,0.38,0.01614151207234082
Harbin,0.39,0.015288524284515706
Harbin,0.4,0.013850563997389764
Harbin,0.41,0.010865106740001865
Harbin,0.42,0.00968933532208446
Harbin,0.43,0.008328283769926354
Harbin,0.44,0.008041623939591685
Harbin,0.45,0.008891115875827351
Harbin,0.46,0.006335648363941457
Harbin,0.47,0.005588701407662907
Harbin,0.48,0.006417218234361892
Harbin,0.49,0.005445371492495571
Harbin,0.5,0.003974783257201454
Harbin,0.51,0.0033408688356483633
Harbin,0.52,0.003086836953481868
Harbin,0.53,0.0027850284329262605
Harbin,0.54,0.002750069917031789
Harbin,0.55,0.0024529225319287777
Harbin,0.56,0.0024261210030763498
Harbin,0.57,0.0021417917404679783
Harbin,0.58,0.002196560082035984
Harbin,0.59,0.0019506851869115316
Harbin,0.6,0.0017083061433765267
Harbin,0.61,0.0015952736086510676
Harbin,0.62,0.0015358441316304654
Harbin,0.63,0.0013762002423790437
Harbin,0.64,0.0015661415120723408
Harbin,0.65,0.0013412417264845717
Harbin,0.66,0.0012014076629066838
Harbin,0.67,0.0011536310245175722
Harbin,0.68,0.0010394332059289642
Harbin,0.69,0.0010627388831919455
Harbin,0.7,0.0009252353873403561
Harbin,0.71,0.0009264006712035051
Harbin,0.72,0.0008343432460147293
Harbin,0.73,0.0009042602778036731
Harbin,0.74,0.0007329635499207606
Harbin,0.75,0.0006572200988160715
Harbin,0.76,0.0006420714085951337
Harbin,0.77,0.0006176004474690033
Harbin,0.78,0.0005873030670271277
Harbin,0.79,0.0005290388738696746
Harbin,0.8,0.0005453528479537615
Harbin,0.81,0.0005406917125011653
Harbin,0.82,0.0004707746807122215
Harbin,0.83,0.00043814673254404776
Harbin,0.84,0.00040085764892327776
Harbin,0.85,0.00041833690687051363
Harbin,0.86,0.0003938659457443833
Harbin,0.87,0.00035191572667101704
Harbin,0.88,0.0003449240234921226
Harbin,0.89,0.00032511419781858854
