City,Strategy,q,P_q_Official
Chengdu,Betweenness,0.09,0.6072131147540983
Chengdu,Betweenness,0.1,0.5816939890710382
Chengdu,Betweenness,0.11,0.5532786885245902
Chengdu,Betweenness,0.12,0.47683060109289616
Chengdu,Betweenness,0.13,0.36240437158469946
Chengdu,Betweenness,0.14,0.3478142076502732
Chengdu,Betweenness,0.15,0.326448087431694
Chengdu,Betweenness,0.16,0.3134972677595628
Chengdu,Betweenness,0.17,0.3070491803278689
Chengdu,Betweenness,0.18,0.2344808743169399
Chengdu,Betweenness,0.19,0.19524590163934427
Chengdu,Betweenness,0.2,0.1259016393442623
Chengdu,Betweenness,0.21,0.11092896174863388
Chengdu,Betweenness,0.22,0.10240437158469945
Chengdu,Betweenness,0.23,0.0825136612021858
Chengdu,Betweenness,0.24,0.04590163934426229
Chengdu,Betweenness,0.25,0.045191256830601094
Chengdu,Betweenness,0.26,0.03846994535519126
Chengdu,Betweenness,0.27,0.03666666666666667
Chengdu,Betweenness,0.28,0.033770491803278686
Chengdu,Betweenness,0.29,0.03278688524590164
Chengdu,Betweenness,0.3,0.03153005464480874
Chengdu,Betweenness,0.31,0.020437158469945354
Chengdu,Betweenness,0.32,0.01994535519125683
Chengdu,Betweenness,0.33,0.016065573770491802
Chengdu,Betweenness,0.34,0.013224043715846994
Chengdu,Betweenness,0.35000000000000003,0.012240437158469945
Chengdu,Betweenness,0.36,0.008907103825136611
Chengdu,Betweenness,0.37,0.007814207650273224
Chengdu,Betweenness,0.38,0.007759562841530055
Chengdu,Betweenness,0.39,0.007759562841530055
Chengdu,Betweenness,0.4,0.007595628415300547
Chengdu,Betweenness,0.41000000000000003,0.007377049180327869
Chengdu,Betweenness,0.42,0.007377049180327869
Chengdu,Betweenness,0.43,0.007377049180327869
Chengdu,Betweenness,0.44,0.007377049180327869
Chengdu,Betweenness,0.45,0.007377049180327869
Chengdu,Betweenness,0.46,0.007377049180327869
Chengdu,Betweenness,0.47000000000000003,0.007377049180327869
Chengdu,Betweenness,0.48,0.007377049180327869
Chengdu,Betweenness,0.49,0.007377049180327869
Chengdu,Betweenness,0.5,0.007377049180327869
Chengdu,Betweenness,0.51,0.007377049180327869
Chengdu,Betweenness,0.52,0.007377049180327869
Chengdu,Betweenness,0.53,0.007377049180327869
Chengdu,Betweenness,0.54,0.007377049180327869
Chengdu,Betweenness,0.55,0.007377049180327869
Chengdu,Betweenness,0.56,0.007377049180327869
Chengdu,Betweenness,0.5700000000000001,0.007377049180327869
Chengdu,Betweenness,0.58,0.007377049180327869
Chengdu,Betweenness,0.59,0.007377049180327869
Chengdu,Betweenness,0.6,0.007377049180327869
Chengdu,Betweenness,0.61,0.007377049180327869
Chengdu,Betweenness,0.62,0.007377049180327869
Chengdu,Betweenness,0.63,0.007377049180327869
Chengdu,Betweenness,0.64,0.007377049180327869
Chengdu,Betweenness,0.65,0.007377049180327869
Chengdu,Betweenness,0.66,0.007377049180327869
Chengdu,Betweenness,0.67,0.007377049180327869
Chengdu,Betweenness,0.68,0.007377049180327869
Chengdu,Betweenness,0.6900000000000001,0.007377049180327869
Chengdu,Betweenness,0.7000000000000001,0.007377049180327869
Chengdu,Betweenness,0.71,0.007377049180327869
Chengdu,Betweenness,0.72,0.007377049180327869
Chengdu,Betweenness,0.73,0.007377049180327869
Chengdu,Betweenness,0.74,0.007377049180327869
Chengdu,Betweenness,0.75,0.007377049180327869
Chengdu,Betweenness,0.76,0.007377049180327869
Chengdu,Betweenness,0.77,0.007377049180327869
Chengdu,Betweenness,0.78,0.007377049180327869
Chengdu,Betweenness,0.79,0.007377049180327869
Chengdu,Betweenness,0.8,0.007377049180327869
Chengdu,Betweenness,0.81,0.003551912568306011
Chengdu,Betweenness,0.8200000000000001,0.0018032786885245902
Chengdu,Betweenness,0.8300000000000001,0.0018032786885245902
Chengdu,Betweenness,0.84,0.0018032786885245902
Chengdu,Betweenness,0.85,0.0009836065573770492
Chengdu,Betweenness,0.86,0.0003278688524590164
Chengdu,Betweenness,0.87,0.0002185792349726776
Chengdu,Betweenness,0.88,0.0002185792349726776
Chengdu,Betweenness,0.89,0.0002185792349726776
Chengdu,Betweenness,0.9,0.0002185792349726776
Chengdu,Betweenness,0.91,0.0002185792349726776
Chengdu,Betweenness,0.92,0.0002185792349726776
Chengdu,Betweenness,0.93,0.0002185792349726776
Chengdu,Betweenness,0.9400000000000001,0.0002185792349726776
Chengdu,Betweenness,0.9500000000000001,0.0001639344262295082
Chengdu,Betweenness,0.96,0.0001092896174863388
Chengdu,Betweenness,0.97,0.0001092896174863388
Chengdu,Betweenness,0.98,0.0001092896174863388
Chengdu,Betweenness,0.99,0.0001092896174863388
Chengdu,Betweenness,1.0,0.0
Chengdu,Closeness,0.0,0.9599453551912568
Chengdu,Closeness,0.01,0.9599453551912568
Chengdu,Closeness,0.02,0.9599453551912568
Chengdu,Closeness,0.03,0.9599453551912568
Chengdu,Closeness,0.04,0.9599453551912568
Chengdu,Closeness,0.05,0.9480874316939891
Chengdu,Closeness,0.06,0.9336612021857924
Chengdu,Closeness,0.07,0.9032786885245901
Chengdu,Closeness,0.08,0.8473224043715847
Chengdu,Closeness,0.09,0.540655737704918
Chengdu,Closeness,0.1,0.5397267759562842
Chengdu,Closeness,0.11,0.5385792349726776
Chengdu,Closeness,0.12,0.5374316939890711
Chengdu,Closeness,0.13,0.536448087431694
Chengdu,Closeness,0.14,0.5349180327868852
Chengdu,Closeness,0.15,0.5336612021857924
Chengdu,Closeness,0.16,0.5326229508196721
Chengdu,Closeness,0.17,0.5315300546448087
Chengdu,Closeness,0.18,0.5302185792349727
Chengdu,Closeness,0.19,0.5292349726775957
Chengdu,Closeness,0.2,0.5281420765027323
Chengdu,Closeness,0.21,0.5268852459016393
Chengdu,Closeness,0.22,0.5253005464480874
Chengdu,Closeness,0.23,0.523551912568306
Chengdu,Closeness,0.24,0.5224043715846994
Chengdu,Closeness,0.25,0.5212021857923498
Chengdu,Closeness,0.26,0.5201092896174864
Chengdu,Closeness,0.27,0.5170491803278688
Chengdu,Closeness,0.28,0.5140983606557377
Chengdu,Closeness,0.29,0.5119672131147541
Chengdu,Closeness,0.3,0.5079781420765027
Chengdu,Closeness,0.31,0.506775956284153
