City,Strategy,q,Q_bc_Teammate
Chengdu,Closeness,0.24,0.4779918032786885
Chengdu,Closeness,0.25,0.47524590163934427
Chengdu,Closeness,0.26,0.47346994535519127
Chengdu,Closeness,0.27,0.47092896174863386
Chengdu,Closeness,0.28,0.46875683060109286
Chengdu,Closeness,0.29,0.4657650273224044
Chengdu,Closeness,0.3,0.4633879781420765
Chengdu,Closeness,0.31,0.46183060109289614
Chengdu,Closeness,0.32,0.4346311475409836
Chengdu,Closeness,0.33,0.4329918032786885
Chengdu,Closeness,0.34,0.40669398907103826
Chengdu,Closeness,0.35000000000000003,0.4061475409836065
Chengdu,Closeness,0.36,0.4055601092896175
Chengdu,Closeness,0.37,0.4047131147540983
Chengdu,Closeness,0.38,0.4044672131147541
Chengdu,Closeness,0.39,0.40277322404371585
Chengdu,Closeness,0.4,0.4022267759562842
Chengdu,Closeness,0.41000000000000003,0.4012978142076503
Chengdu,Closeness,0.42,0.40009562841530055
Chengdu,Closeness,0.43,0.39878415300546444
Chengdu,Closeness,0.44,0.3972814207650273
Chengdu,Closeness,0.45,0.39662568306010926
Chengdu,Closeness,0.46,0.39596994535519126
Chengdu,Closeness,0.47000000000000003,0.3946584699453552
Chengdu,Closeness,0.48,0.39383879781420766
Chengdu,Closeness,0.49,0.3933333333333333
Chengdu,Closeness,0.5,0.39248633879781425
Chengdu,Closeness,0.51,0.3820218579234973
Chengdu,Closeness,0.52,0.3756967213114754
Chengdu,Closeness,0.53,0.368620218579235
Chengdu,Closeness,0.54,0.3601366120218579
Chengdu,Closeness,0.55,0.3501366120218579
Chengdu,Closeness,0.56,0.3387568306010929
Chengdu,Closeness,0.5700000000000001,0.32860655737704914
Chengdu,Closeness,0.58,0.2921311475409836
Chengdu,Closeness,0.59,0.268879781420765
Chengdu,Closeness,0.6,0.2505191256830601
Chengdu,Closeness,0.61,0.22240437158469947
Chengdu,Closeness,0.62,0.21524590163934426
Chengdu,Closeness,0.63,0.20484972677595628
Chengdu,Closeness,0.64,0.19816939890710383
Chengdu,Closeness,0.65,0.18508196721311476
Chengdu,Closeness,0.66,0.17730874316939893
Chengdu,Closeness,0.67,0.16726775956284154
Chengdu,Closeness,0.68,0.13926229508196722
Chengdu,Closeness,0.6900000000000001,0.12030054644808744
Chengdu,Closeness,0.7000000000000001,0.09777322404371586
Chengdu,Closeness,0.71,0.08584699453551912
Chengdu,Closeness,0.72,0.07898907103825137
Chengdu,Closeness,0.73,0.06098360655737705
Chengdu,Closeness,0.74,0.05971311475409836
Chengdu,Closeness,0.75,0.05539617486338798
Chengdu,Closeness,0.76,0.0515983606557377
Chengdu,Closeness,0.77,0.05024590163934426
Chengdu,Closeness,0.78,0.04739071038251366
Chengdu,Closeness,0.79,0.035628415300546445
Chengdu,Closeness,0.8,0.03363387978142077
Chengdu,Closeness,0.81,0.029972677595628418
Chengdu,Closeness,0.8200000000000001,0.02849726775956284
Chengdu,Closeness,0.8300000000000001,0.02628415300546448
Chengdu,Closeness,0.84,0.023497267759562845
Chengdu,Closeness,0.85,0.021202185792349726
Chengdu,Closeness,0.86,0.00959016393442623
Chengdu,Closeness,0.87,0.008907103825136611
Chengdu,Closeness,0.88,0.00726775956284153
Chengdu,Closeness,0.89,0.006502732240437159
Chengdu,Closeness,0.9,0.00633879781420765
Chengdu,Closeness,0.91,0.0040710382513661205
Chengdu,Closeness,0.92,0.002896174863387978
Chengdu,Closeness,0.93,0.0025956284153005466
Chengdu,Closeness,0.9400000000000001,0.0018032786885245904
Chengdu,Closeness,0.9500000000000001,0.001639344262295082
Chengdu,Closeness,0.96,0.0008743169398907104
Chengdu,Closeness,0.97,0.0006284153005464481
Chengdu,Closeness,0.98,0.0003825136612021858
Chengdu,Closeness,0.99,0.00015027322404371585
Chengdu,Closeness,1.0,0.0
Dalian,Degree,0.0,0.8106027195883866
Dalian,Degree,0.01,0.7565784638000734
Dalian,Degree,0.02,0.7204520396912899
Dalian,Degree,0.03,0.6658765159867697
Dalian,Degree,0.04,0.6388276368981992
Dalian,Degree,0.05,0.6115950018375598
Dalian,Degree,0.06,0.5778574053656744
Dalian,Degree,0.07,0.5316611539875046
Dalian,Degree,0.08,0.4848033811098861
Dalian,Degree,0.09,0.41922087467842706
Dalian,Degree,0.1,0.38919514884233736
Dalian,Degree,0.11,0.35391400220507163
Dalian,Degree,0.12,0.3101800808526277
Dalian,Degree,0.13,0.21602352076442483
Dalian,Degree,0.14,0.15266446159500185
Dalian,Degree,0.15,0.0918412348401323
Dalian,Degree,0.16,0.06262403528114664
Dalian,Degree,0.17,0.045350973906651965
Dalian,Degree,0.18,0.020727673649393607
Dalian,Degree,0.19,0.020727673649393607
Dalian,Degree,0.2,0.020470415288496878
Dalian,Degree,0.21,0.02675486953325983
Dalian,Degree,0.22,0.02675486953325983
Dalian,Degree,0.23,0.02675486953325983
Dalian,Degree,0.24,0.02675486953325983
Dalian,Degree,0.25,0.02675486953325983
Dalian,Degree,0.26,0.02675486953325983
Dalian,Degree,0.27,0.02675486953325983
Dalian,Degree,0.28,0.02675486953325983
Dalian,Degree,0.29,0.02675486953325983
Dalian,Degree,0.3,0.02675486953325983
Dalian,Degree,0.31,0.02675486953325983
Dalian,Degree,0.32,0.02675486953325983
