排名,节点ID,X坐标,Y坐标,度数,介数中心性
578,32285,549092.8112,4646016.7152,3,0.01611432
579,9011,530468.772,4618520.38,3,0.01610764
580,22937,525161.7079,4626726.203,3,0.01608875
581,27078,528099.1962,4630198.5781,3,0.0160826
582,4463,528298.6888,4614463.461,3,0.01607737
583,32287,531400.0695,4646030.4198,4,0.01604303
584,1561,522089.3391,4609190.9638,4,0.01602203
585,8928,530174.5929,4618166.606,2,0.01601464
586,6659,537275.3423,4615721.7172,4,0.01600472
587,8563,530054.7342,4617895.2776,2,0.01599316
588,30668,541042.0149,4639586.5272,3,0.01598137
589,27064,528090.0715,4630185.3299,4,0.0159457
590,5725,517620.2902,4615151.5132,3,0.01592572
591,6549,537636.6968,4615684.1355,4,0.01591921
592,16732,515017.581,4623264.9785,3,0.01590195
593,22054,539587.5148,4626142.3329,3,0.01589015
594,27994,529822.5243,4631726.7748,3,0.01587689
595,27582,529556.4986,4630928.2959,4,0.01575906
596,6086,537436.5762,4615431.8129,3,0.0157136
597,20600,524109.1481,4625320.8237,4,0.015654
598,24172,531723.6658,4627599.8029,4,0.01563843
599,13180,527016.7954,4621941.4765,4,0.0155838
600,29273,532497.4596,4635336.6322,4,0.01557528
601,6241,537435.2594,4615511.8671,3,0.0155623
602,25862,544337.554,4628787.014,3,0.01555905
603,1455,525311.9672,4608590.4811,4,0.01552234
604,4121,527743.3414,4613901.3833,4,0.01550345
605,32428,532444.4443,4646575.4115,4,0.01549577
606,24552,548799.1004,4627841.1405,4,0.01548075
607,12589,527281.9074,4621660.3327,4,0.01547524
608,1555,522083.4084,4609172.7196,4,0.01545324
609,1329,544665.3228,4607635.5315,3,0.0154234
610,28416,532536.0308,4633146.389,4,0.01540152
611,25534,536281.2029,4628525.9283,4,0.01539002
612,11899,527524.0735,4621403.1142,3,0.01538362
613,17918,530855.6409,4623940.0476,4,0.01537877
614,24000,525190.9809,4627524.4419,4,0.01536046
615,19725,548877.2305,4624901.741,4,0.01533164
616,16311,538771.7888,4623069.0311,5,0.01530975
617,26145,510509.5098,4629013.3228,2,0.01530888
618,9912,538872.272,4619797.0708,4,0.01530556
619,33299,487594.2935,4654998.7692,4,0.01529622
620,7867,547407.9747,4616938.4311,3,0.01524937
