排名,节点ID,X坐标,Y坐标,度数,介数中心性
170,14713,263893.9692,3998670.8383,4,0.07529327
171,25002,235586.368,4030178.38,4,0.07485376
172,36595,261111.3495,3998063.3506,4,0.07457303
173,36604,261121.3444,3998073.1733,4,0.07455333
174,20717,235389.0984,4016076.7731,4,0.07375736
175,32426,281430.827,4048031.7692,4,0.07348849
176,32235,291952.8299,4046464.0803,3,0.07324327
177,32219,290946.9834,4046385.6326,3,0.07323544
178,32701,279441.5148,4051386.2273,4,0.07312294
179,32233,291795.3795,4046451.4451,3,0.07302957
180,32696,285099.9784,4050955.9491,3,0.07157129
181,32633,288054.6985,4049646.5677,4,0.07143679
182,13460,235592.4366,3997808.5506,3,0.07125915
183,19640,242679.7869,4014104.4828,4,0.06873324
184,14709,263891.0108,3998665.0556,4,0.06765157
185,23033,272715.0715,4019951.1125,4,0.06682123
186,33302,250664.0847,4063140.4775,4,0.06619901
187,33252,255122.0676,4062383.5161,4,0.06515027
188,24572,237729.8228,4027671.2748,4,0.06444446
189,20674,233829.4977,4016034.8698,3,0.06404069
190,12396,260081.5193,3996748.9038,3,0.06396601
191,33255,255108.5073,4062386.9184,4,0.06381001
192,13464,235599.7778,3997809.2617,3,0.06354007
193,13594,236095.2622,3997907.132,3,0.06297853
194,32253,292683.9392,4046522.7673,3,0.06281986
195,15687,261762.9453,4000191.8917,4,0.06236602
196,23365,270076.0474,4020813.9153,4,0.06212168
197,15660,261415.9454,4000107.7956,3,0.06182818
198,32248,294113.6047,4046496.374,3,0.06165918
199,32211,295050.221,4046363.3236,4,0.06121729
200,33281,238207.5507,4062670.0498,5,0.05966458
201,16129,264905.4384,4001263.9153,4,0.0584593
202,32189,295379.8246,4046318.2277,4,0.05764943
203,32113,286629.1253,4045976.7886,4,0.05752778
204,13596,236102.1094,3997908.8024,3,0.05738196
205,32186,295515.0617,4046300.039,4,0.05731085
206,21640,271826.3874,4017271.9257,4,0.05727774
207,32181,295637.8807,4046280.2267,3,0.0569929
208,28084,260146.0198,4034125.33,4,0.05685192
209,32183,295809.5014,4046187.0448,2,0.05673648
210,32096,296429.4542,4045880.4801,3,0.05668803
211,24180,254632.7754,4024822.6947,4,0.05665298
212,14060,237147.5505,3998187.3055,3,0.05663763
213,32148,295867.0519,4046130.8953,2,0.05661117
214,26742,261895.536,4032374.2831,3,0.05640807
215,12889,233972.6969,3997246.1025,3,0.05568929
216,25143,280246.2342,4030740.1748,4,0.05525702
217,22328,262105.8407,4018466.5231,4,0.05518893
218,33316,247501.7491,4063522.0976,3,0.05493908
219,22499,263288.1715,4019036.7603,3,0.05486354
220,16497,265578.1393,4002220.6516,4,0.05474975
221,33318,247329.7977,4063540.0754,3,0.05473781
222,25263,280404.5581,4031090.2267,4,0.05457961
223,16589,265798.9782,4002631.7873,4,0.05457956
224,21300,236640.8522,4016830.3168,3,0.05447087
225,12401,234052.1899,3996751.6616,3,0.05422549
226,32033,297913.6018,4045626.9187,3,0.0536363
227,24508,230614.3902,4027072.8643,3,0.05320631
228,33214,260915.8094,4060307.64,3,0.05302167
229,8624,234787.0154,3994955.1128,3,0.05287751
230,12179,260165.4561,3996637.7654,4,0.05287139
231,8437,233653.9586,3994868.0471,3,0.05286241
232,14545,263796.0824,3998479.717,4,0.05281637
233,13763,263595.0153,3998015.7328,3,0.05259675
234,15905,237349.9345,4000750.2001,3,0.05251161
235,16650,265207.6147,4002927.2094,4,0.05249323
236,13675,263534.6438,3997939.8186,4,0.05239383
237,16143,264913.0277,4001272.8047,4,0.05229296
238,6093,234759.1492,3993822.8415,4,0.05225082
239,16628,265474.4657,4002788.9664,3,0.05205113
240,23880,230852.3509,4022887.0049,4,0.05200095
241,32630,288068.3116,4049639.7551,4,0.05183329
242,8418,239510.9121,3994852.6279,3,0.05174015
243,7629,233688.5486,3994484.4576,4,0.05168836
244,29070,280935.7623,4037021.2213,4,0.05164746
245,32801,270700.6077,4053001.9155,3,0.05162037
246,7760,241203.3504,3994555.6802,3,0.05109654
247,13265,263280.1581,3997676.3336,3,0.05050547
248,23099,234577.9104,4020181.3265,4,0.05035427
249,7099,233788.1368,3994288.6238,3,0.05005541
250,7085,233976.4729,3994285.2795,3,0.04999074
251,13315,263351.1754,3997723.234,2,0.04993994
252,15883,265724.0982,4000676.4346,4,0.04983336
