排名,节点ID,X坐标,Y坐标,度数,介数中心性
8058,6106,380021.0857,4305837.6394,3,0.00018824
8059,8277,376011.2124,4307921.3063,3,0.0001882
8060,8581,385250.1248,4308029.7495,3,0.00018819
8061,17828,394798.1159,4322460.8997,3,0.00018812
8062,15394,377165.845,4317164.0025,2,0.00018802
8063,10128,379842.9457,4308740.7095,3,0.000188
8064,29955,497301.5756,4392852.051,4,0.00018798
8065,28117,429593.0287,4376096.7705,3,0.0001879
8066,28316,455558.4099,4378025.3514,2,0.00018779
8067,2553,372214.1429,4301529.4243,3,0.0001877
8068,4584,372138.16,4304494.4707,4,0.00018767
8069,18268,396396.0284,4323026.9055,4,0.00018758
8070,22991,396624.0116,4334251.4532,2,0.0001874
8071,28124,454723.5395,4376122.8658,4,0.00018725
8072,29182,480722.7081,4387340.8168,3,0.00018718
8073,28198,454402.2716,4376568.5974,2,0.00018712
8074,4571,371826.5529,4304493.2826,3,0.00018709
8075,35674,489883.3277,4393533.0923,3,0.00018693
8076,17589,394520.1306,4322125.0472,3,0.00018689
8077,16511,396407.9096,4319766.2851,3,0.00018687
8078,20777,411128.2852,4325930.0409,3,0.00018676
8079,4703,374849.1944,4304579.7763,3,0.00018666
8080,12038,374787.7052,4310226.0561,3,0.00018655
8081,9685,384343.2468,4308560.8652,3,0.00018614
8082,9833,383165.9499,4308629.4702,5,0.000186
8083,14121,376601.3234,4314557.7258,4,0.00018586
8084,13359,373561.9738,4312960.0074,3,0.00018571
8085,3115,380485.989,4303058.6205,3,0.0001856
8086,17401,385831.1821,4321948.3052,2,0.00018554
8087,22050,387952.541,4328075.0579,4,0.00018543
8088,24953,395472.1429,4348409.2053,2,0.00018543
8089,6705,378075.8795,4306808.3662,4,0.00018541
8090,28317,455541.5103,4378025.504,2,0.00018522
8091,2405,370141.9411,4301139.6487,3,0.00018517
8092,5496,382605.3024,4305084.4684,3,0.00018499
8093,12328,376342.2253,4310595.1179,3,0.00018485
8094,3287,371320.7735,4303335.9478,3,0.00018479
