排名,节点ID,X坐标,Y坐标,度数,介数中心性
5271,23089,752322.0435,3862028.9563,3,0.00060499
5272,10185,749984.983,3848267.5365,3,0.0006046
5273,5280,716556.8328,3839478.0496,3,0.00060442
5274,22379,748305.0153,3860392.0796,3,0.00060346
5275,5881,776102.8086,3841518.7474,3,0.0006032
5276,3993,761795.1473,3829815.4338,4,0.00060279
5277,23062,726088.026,3861959.5456,3,0.00060236
5278,24322,740277.9349,3843042.4302,4,0.00060197
5279,6975,749844.1493,3843739.8598,2,0.00060164
5280,11030,740339.4071,3848757.5366,3,0.00060116
5281,4480,740907.3449,3836105.1972,2,0.00060106
5282,24721,736126.2458,3849500.5582,4,0.00060083
5283,21148,723566.3901,3859105.2808,3,0.00060055
5284,20001,742548.5861,3857165.9165,3,0.0006005
5285,18372,745762.2521,3854374.1057,4,0.00059979
5286,20115,740085.9275,3857325.0935,3,0.00059955
5287,18889,741831.0205,3855058.3592,3,0.00059948
5288,6619,739752.7303,3843278.8193,2,0.00059926
5289,2733,738711.1421,3823768.5682,2,0.00059913
5290,5347,749428.4474,3839764.7255,3,0.00059899
5291,15651,758036.0995,3852016.8896,2,0.00059793
5292,18362,708468.8453,3854371.2199,4,0.0005979
5293,14312,748842.8691,3850875.3035,2,0.00059779
5294,11360,740215.965,3848882.7251,3,0.00059748
5295,4921,710895.3799,3838762.5772,2,0.00059711
5296,16184,758225.5769,3852427.3308,2,0.0005968
5297,3967,762989.5158,3829297.8926,4,0.0005961
5298,18545,758296.6366,3854688.0735,3,0.0005955
5299,1454,687309.3985,3815459.0055,4,0.00059546
5300,9013,776889.2451,3847026.4561,4,0.00059511
5301,10651,745107.3454,3848562.0612,3,0.00059483
5302,6966,749994.5756,3843546.853,2,0.00059386
5303,23537,724911.4502,3863515.1923,2,0.00059292
5304,15641,752313.1427,3852005.1409,3,0.00059282
5305,18257,755430.5326,3854221.4927,3,0.00059277
5306,24750,736140.0492,3849585.9216,4,0.00059267
5307,673,755477.4949,3809886.3055,4,0.00059224
5308,10263,741482.1261,3848272.794,2,0.00059204
5309,515,749752.7578,3809381.141,3,0.00059185
5310,22304,738860.7287,3860325.1799,3,0.00059176
5311,18780,757274.5432,3854903.32,3,0.0005908
5312,8819,684672.374,3846790.9418,3,0.00059077
5313,23493,724848.6202,3863052.5118,2,0.00059011
5314,23591,714671.7573,3864551.3253,3,0.00058869
5315,13781,753180.9376,3850520.1683,3,0.00058842
5316,4708,733825.6509,3837528.7396,2,0.00058776
5317,22549,721688.8101,3860555.7899,2,0.00058742
5318,13124,750165.4323,3850077.1693,4,0.00058727
5319,11020,747900.4869,3848754.4642,4,0.00058701
5320,3860,711515.8121,3827315.1482,2,0.00058635
5321,14367,748945.0517,3850919.5699,3,0.00058594
5322,19994,758152.2221,3856138.8175,2,0.00058528
5323,9222,750938.357,3847327.341,4,0.00058519
