排名,节点ID,X坐标,Y坐标,度数,介数中心性
3450,10925,585819.7746,2769920.2849,2,0.00064202
3451,10030,649741.6429,2764002.4666,3,0.0006419
3452,9996,649759.5607,2763924.2073,3,0.0006419
3453,941,638295.7742,2732338.9384,2,0.00064178
3454,9755,622455.4714,2763196.5069,3,0.00064178
3455,945,638648.4865,2732411.9374,2,0.00064168
3456,943,638690.3548,2732403.9497,2,0.00064168
3457,948,638636.2462,2732440.0024,2,0.00064165
3458,7643,659948.9937,2756547.6214,4,0.00063936
3459,4681,664264.7736,2750749.2602,3,0.00063889
3460,9042,648830.4974,2761316.1608,4,0.00063886
3461,10656,670226.1822,2768020.5039,2,0.00063853
3462,6183,657521.5476,2753503.9242,2,0.00063793
3463,2870,664335.2406,2740703.9986,3,0.00063789
3464,13078,617014.0636,2808953.0538,3,0.00063751
3465,8931,608692.627,2760826.2996,3,0.00063694
3466,4882,654217.8365,2751259.4946,2,0.00063687
3467,11276,673658.0218,2771996.1805,2,0.0006366
3468,2417,655831.6352,2738722.3191,3,0.00063478
3469,1962,661988.1098,2737577.6306,2,0.00063438
3470,11710,639840.7632,2778156.1703,2,0.00063369
3471,4853,656073.1338,2751237.335,3,0.00063293
3472,693,660304.7733,2729822.8713,2,0.00063236
3473,5650,657949.5017,2753030.1711,3,0.00063197
3474,12606,626744.6444,2795147.435,2,0.00063153
3475,11725,682673.3667,2778580.9365,4,0.00063149
3476,4605,662689.8384,2750471.2186,2,0.00062848
3477,1342,663169.493,2735165.0426,4,0.00062717
3478,2621,654537.1699,2739408.734,4,0.00062656
3479,9325,676809.8826,2762023.2451,4,0.00062634
3480,5845,676181.3072,2753485.5702,4,0.00062628
3481,7819,658529.9547,2756831.5594,3,0.00062588
3482,5788,662748.7098,2753285.7113,3,0.00062553
3483,7838,664476.5521,2756795.5586,2,0.00062434
3484,5041,654135.3458,2751560.0092,2,0.00062297
3485,6368,661272.3082,2754354.5935,3,0.00062136
3486,6544,660176.3107,2754742.3526,3,0.0006212
3487,5976,669204.0282,2753674.1267,2,0.00061997
3488,777,664374.1931,2730017.0794,3,0.00061978
3489,6132,658182.3857,2753899.3456,3,0.00061961
3490,5399,657303.4281,2752532.1961,3,0.00061871
3491,9142,649002.4121,2761523.441,3,0.00061702
3492,2996,646966.6611,2741214.5807,4,0.00061662
3493,2062,666767.1966,2737827.2483,3,0.00061562
3494,13998,669173.4849,2754282.6211,4,0.00061291
3495,11448,622371.5143,2774233.7928,3,0.00061155
