排名,节点ID,X坐标,Y坐标,度数,接近中心性
4557,32773,395127.3278,3396829.982,2,0.02254401
4558,22137,413434.0829,3389660.4526,5,0.02254389
4559,19279,417404.117,3387173.9839,4,0.02254352
4560,22824,408687.0531,3390123.5712,4,0.02254337
4561,22845,408624.3535,3390133.291,3,0.02254323
4562,22928,408571.0451,3390174.5304,3,0.02254317
4563,29398,412808.8768,3394553.5532,3,0.02254308
4564,22877,408507.9293,3390151.0042,3,0.02254262
4565,30268,415164.6541,3395142.2101,3,0.02254254
4566,27115,414911.7753,3393133.6431,3,0.02254227
4567,28439,412780.9666,3394008.3228,3,0.02254201
4568,37340,420334.8835,3403233.9349,2,0.02254196
4569,26723,394355.6156,3392757.6325,4,0.02254161
4570,29554,393558.5857,3394672.6616,4,0.02254155
4571,22734,408704.8001,3390030.6303,1,0.02254138
4572,24873,395141.6345,3391281.5987,2,0.02254074
4574,28265,412289.022,3393938.6849,4,0.02254068
4573,26564,415207.2631,3392632.7408,3,0.02254068
4575,19923,413550.1294,3387859.3232,1,0.02254042
4576,28212,417129.7465,3393911.4093,3,0.02253901
4577,10861,403468.2191,3380984.2654,3,0.0225386
4578,18063,415591.0719,3386207.5412,3,0.02253765
4579,17227,412175.285,3385487.8774,3,0.02253687
4580,22475,417730.7592,3389891.6061,2,0.02253669
4581,22212,418294.6906,3389721.2669,3,0.02253525
4582,40977,411678.817,3408854.7147,2,0.02253481
4583,34962,396686.0167,3399163.3702,4,0.02253452
4584,35790,417706.0283,3400906.9508,3,0.02253374
4585,35661,417963.3841,3400796.3194,3,0.02253348
4586,35705,418035.7955,3400827.0653,3,0.0225334
4587,29479,393856.1296,3394627.7569,4,0.02253299
4588,35653,417661.1753,3400785.8883,3,0.02253299
4589,39058,418902.7291,3406081.0688,4,0.02253253
4590,33954,420356.2164,3397794.8476,3,0.0225325
4591,21410,414304.2334,3389180.5964,3,0.02253215
4592,35616,418109.8279,3400754.1372,3,0.02253114
4593,38066,420787.1526,3404075.3836,3,0.02253077
4594,35608,418147.7065,3400745.968,3,0.02253056
4595,39381,399047.0068,3405812.1319,2,0.02252924
4596,21539,418263.412,3389221.3119,3,0.02252921
4597,23092,414760.1136,3390265.5754,4,0.02252898
4598,31513,397525.2609,3395883.4348,2,0.02252886
4599,36922,400271.82,3402848.0707,3,0.02252857
4600,39029,405137.2707,3405980.4578,2,0.02252846
4601,16742,411150.6436,3385040.0897,4,0.02252811
4602,11173,407811.7026,3381288.1518,4,0.02252571
4603,13408,402985.4911,3383101.5251,1,0.02252352
4605,35943,398579.1918,3401090.41,3,0.02252334
4604,18519,416865.4561,3386574.6253,4,0.02252334
4606,39039,407841.8464,3406054.4158,2,0.02252314
4607,26020,407884.6006,3392222.9198,3,0.02252265
4608,39052,408912.0178,3406073.1698,3,0.02252233
4609,22263,418156.9602,3389762.3335,4,0.0225223
4610,25745,414947.6524,3392021.5745,3,0.02252173
4611,21166,414603.4398,3388914.1077,3,0.02252161
4612,17402,414368.7392,3385647.0231,3,0.02252118
4613,33491,396035.6463,3397314.5935,3,0.02252034
4614,47308,410730.5698,3382108.7747,3,0.02251939
4615,25380,407499.1654,3391711.1415,1,0.02251901
4616,38718,416820.6905,3405228.724,3,0.02251875
4617,29591,393546.5186,3394693.3752,4,0.02251869
4618,43568,397764.6255,3416552.9588,3,0.02251693
4619,38727,398589.4809,3405240.706,4,0.0225167
4620,22371,411223.9417,3389846.9712,3,0.02251667
4621,24045,414282.7145,3390801.4047,3,0.02251627
4622,21293,413757.0377,3388899.9895,1,0.02251618
4623,11040,406903.038,3381134.9119,4,0.02251494
4624,33774,420626.8745,3397589.0025,3,0.02251243
4625,26005,407557.4651,3392213.4327,4,0.0225124
4626,22539,409879.3294,3389930.4991,3,0.02251211
4627,22849,414172.4846,3390136.489,5,0.02251209
4628,34193,412909.0982,3398083.1343,2,0.02251108
4629,20372,417598.2972,3388362.9383,4,0.02251041
4630,21091,416564.2863,3388841.0154,1,0.02251001
4631,22363,411595.0839,3389846.1136,3,0.02251001
4632,14000,401135.5797,3382819.1453,1,0.02250995
4633,14238,401460.0968,3383449.5949,1,0.02250891
4634,13576,410437.1858,3383217.0907,6,0.02250877
4635,48937,414570.4657,3390864.1658,2,0.02250681
4636,49985,414246.2848,3396526.4453,2,0.02250588
4637,25346,414949.3683,3391683.2999,3,0.02250568
4638,24303,409088.7661,3391047.4795,3,0.02250539
4639,19726,413868.1596,3387689.5982,3,0.02250456
4640,17177,414360.0723,3385461.0275,3,0.02250317
4641,9383,407388.0544,3379530.1018,3,0.02250312
4642,23057,418359.2555,3389784.5164,1,0.02250268
4643,17135,414091.8405,3385430.7415,4,0.02250254
4644,33655,413929.0812,3397432.7932,4,0.02250191
4645,27371,412798.5135,3393374.3678,3,0.02250058
4646,38533,401947.9221,3404681.1944,3,0.02249995
4647,29296,413586.9741,3394496.8217,3,0.02249923
4648,23022,412636.6144,3390228.0263,3,0.02249836
4649,16968,413225.2262,3385265.8753,3,0.02249744
4650,22448,417771.0123,3389879.3844,2,0.02249669
4651,38011,401317.4146,3404016.2834,3,0.02249565
4652,22425,417707.6518,3389872.8874,4,0.02249528
4653,33650,413218.8376,3397423.1043,3,0.02249493
4654,26155,416130.1526,3392319.091,3,0.02249438
4655,36941,420443.2046,3402885.7034,2,0.02249384
4656,21363,391829.0864,3389116.521,3,0.022493
4657,39826,416371.5241,3407662.7089,3,0.022493
4658,29111,411565.0467,3394372.1879,2,0.02249228
4659,48869,414472.9415,3390695.7418,4,0.02249197
4660,27050,394707.3056,3393069.0043,4,0.02249194
4661,29561,393545.1877,3394674.091,4,0.02249159
4662,15756,398295.4908,3384416.3431,3,0.02249119
4663,38808,416615.099,3405444.7863,2,0.02249073
4664,38174,401060.6133,3404161.6555,3,0.02248946
4665,49121,414591.1402,3392877.9871,3,0.02248819
4666,23464,414908.2612,3390468.1804,4,0.02248816
4667,14995,408691.8234,3383966.5437,3,0.02248808
4669,33115,412149.3463,3396720.7943,1,0.02248759
4668,33109,412625.657,3396905.5396,1,0.02248759
4670,23915,410283.6437,3390768.8741,4,0.02248727
4671,21626,418312.5345,3389269.9045,3,0.02248652
4672,40978,412109.0937,3409970.2426,4,0.0224848
4673,35874,422576.4738,3401023.4179,3,0.02248451
4674,20144,415374.1538,3388098.7553,3,0.02248393
4675,40984,411656.82,3408867.0994,2,0.02248388
4676,48795,414621.3712,3390606.9631,3,0.02248373
4677,36747,400982.7586,3402619.3719,4,0.02248304
4678,17103,413898.1173,3385386.6783,3,0.02248287
4679,29465,413213.586,3394613.477,4,0.02248278
4680,39458,411406.5545,3406678.9786,2,0.02248238
4681,19171,412398.7965,3387025.6016,2,0.02248169
4682,49912,414306.9752,3396389.0708,2,0.02248154
4683,18252,397874.0362,3386370.9727,3,0.02248117
4684,26152,415354.8297,3392326.7343,4,0.02248111
4685,17438,411616.7029,3385651.7937,2,0.02248103
4686,38445,410184.881,3404520.367,4,0.02248031
4687,23172,414262.0727,3390290.8314,4,0.02247956
4688,26113,416012.807,3392291.7549,2,0.02247864
4689,39385,399817.8809,3406552.2442,3,0.02247798
4690,11091,399162.142,3381210.8324,3,0.02247795
4691,32817,393910.35,3396858.742,2,0.02247789
4692,50037,414128.6919,3396687.3061,2,0.02247783
4693,20046,416123.5562,3388018.4525,4,0.02247645
4694,38947,420330.3997,3405885.1476,4,0.02247565
4695,13522,411012.614,3383190.5105,2,0.02247553
4696,50347,416775.9148,3398449.038,3,0.0224751
4697,25367,414949.7383,3391705.8735,4,0.02247504
4699,49427,413027.9021,3394391.2483,4,0.02247404
4698,11043,406886.0662,3381140.0013,3,0.02247404
4700,23459,414368.6644,3390465.3859,3,0.02247381
4701,16008,410436.3056,3384533.869,3,0.02247274
4702,25335,414771.0756,3391674.7239,1,0.0224707
4703,39926,400444.9498,3407937.7256,3,0.02247042
4704,32632,394871.487,3396680.3201,2,0.02247016
4705,38826,416203.3548,3405516.9713,2,0.02246967
4706,12968,409569.885,3382805.8026,4,0.02246901
4707,9430,407507.1672,3379543.1027,4,0.02246803
4708,28618,411022.756,3394093.9557,3,0.0224678
4710,25851,407241.8956,3392098.5071,4,0.02246717
4709,12780,408670.038,3382618.5298,3,0.02246717
4711,13561,409633.5828,3383207.0055,4,0.02246656
4712,29389,410274.9242,3394551.0756,2,0.02246645
4713,15647,410438.4526,3384361.5947,4,0.02246481
4714,7659,406685.0934,3377498.1224,3,0.02246404
4715,26966,409761.6328,3392996.9698,3,0.02246395
4716,10813,399086.0141,3380929.6641,3,0.02246366
4717,27844,410896.7078,3393722.1417,3,0.02246286
4718,19487,415710.5147,3387454.9917,3,0.02246168
4719,27010,415531.4328,3393032.1592,2,0.0224603
4720,34749,422497.457,3398774.739,3,0.02245835
4721,22521,417332.6122,3389925.0008,4,0.022457
4722,24338,408736.3548,3391059.2718,2,0.02245671
4723,27032,409340.2415,3393048.1485,3,0.02245571
4724,39374,406884.8015,3406517.1382,2,0.02245559
4725,28352,419566.7908,3393978.0074,3,0.02245439
4726,23196,408712.1172,3390315.0246,3,0.02245043
4727,7749,407654.0571,3377710.4889,3,0.02245014
4728,15524,409102.1277,3384310.2775,4,0.02244951
4729,38443,402286.0585,3404520.3599,3,0.02244873
4730,22149,418463.9209,3389670.8113,4,0.02244859
4731,37164,420335.8377,3403076.3791,3,0.02244773
4732,25857,415461.9294,3392104.5711,3,0.02244558
4733,36459,421220.0355,3402105.571,2,0.02244538
4734,37314,398928.926,3403304.8681,3,0.02244265
4735,17817,416146.4485,3385929.1902,3,0.02244148
4736,21608,415036.1326,3389259.0489,4,0.02244128
4737,17315,413785.8463,3385579.8461,3,0.02244108
4738,25798,394725.6543,3392067.8529,3,0.02244096
4739,27768,414826.6609,3393683.6783,3,0.02244022
4740,40983,412077.8785,3409982.242,4,0.02244005
4741,18244,397014.3454,3386369.7473,4,0.02243987
4742,39061,418883.5486,3406083.2436,4,0.02243967
4743,49317,419523.3515,3393737.9388,3,0.02243927
4744,15991,410371.7001,3384522.2327,4,0.02243913
4745,16477,411029.4052,3384800.7588,4,0.02243893
4746,23508,409877.6043,3390502.0621,3,0.02243563
4747,39042,408983.5871,3406056.2794,3,0.0224354
4748,22428,417724.0932,3389869.5573,3,0.02243494
4749,17900,415864.7886,3386008.8654,3,0.02243443
4750,18955,416444.0519,3386858.8834,3,0.0224334
4751,18392,416390.0027,3386460.4314,4,0.02243317
4752,13619,411024.956,3383236.3179,4,0.02243268
4753,14111,411230.8516,3383543.4889,3,0.02243173
4754,24020,409582.6994,3390860.3779,3,0.02243068
4755,11495,408279.5314,3381530.6193,4,0.02243062
4756,22098,418525.8927,3389641.4959,4,0.02243062
4757,29599,415755.3463,3394696.0522,3,0.02243053
4758,38615,400844.5159,3404891.4792,2,0.02242979
4759,37785,410857.18,3403846.7459,2,0.02242913
4760,29056,397754.5923,3394012.805,2,0.02242896
4761,39157,417216.738,3406227.9621,3,0.0224277
4762,17082,412768.7955,3385376.6084,2,0.0224273
4763,16170,411381.9385,3384639.9884,2,0.02242701
4764,10634,403983.3551,3379014.5609,2,0.02242652
4765,15920,413882.0575,3384504.6959,4,0.02242649
4766,37334,401061.5693,3403357.819,4,0.02242632
4767,15908,410029.153,3384502.1101,3,0.02242621
4768,26952,409345.7871,3392976.292,4,0.02242618
4769,32767,420200.5919,3396818.8979,3,0.02242566
4770,10628,405553.3145,3380701.9579,2,0.02242546
4771,26981,408881.5651,3393011.1468,3,0.02242469
4772,20440,413996.2878,3388422.2186,3,0.02242429
4773,26771,394726.3729,3392795.7416,4,0.0224234
4774,34299,411719.0993,3398180.8738,2,0.02242326
4775,14138,409123.2144,3383554.0067,4,0.02242303
4776,31912,397495.5248,3395922.2793,1,0.02242243
4777,32776,420443.067,3396830.7986,4,0.02242177
4778,13067,409131.1473,3382852.2999,3,0.0224214
4779,27053,394341.8122,3393074.2272,3,0.02242106
4780,22257,418127.6643,3389753.6452,3,0.0224204
4781,28167,417141.318,3393892.6117,3,0.02242014
4782,22571,411217.8937,3389948.0568,4,0.02241997
4783,13949,400113.1071,3383418.047,3,0.02241925
4784,38562,398197.987,3404759.9444,4,0.0224192
4785,43823,397769.5416,3416996.1928,3,0.02241877
4786,50316,417059.5812,3398310.1533,3,0.02241756
4787,24761,418632.3012,3389939.443,2,0.02241745
4788,33983,420207.6882,3397828.5122,3,0.02241745
4789,9031,403221.9165,3379234.2166,2,0.02241545
4790,25384,414974.027,3391712.9634,3,0.02241488
4791,11362,400541.4466,3381477.4005,3,0.02241473
4792,27656,414143.4548,3393633.5519,3,0.02241427
4793,22116,411139.1867,3389519.7359,1,0.02241279
4794,35913,398577.635,3401068.5339,4,0.02241256
4795,10785,399100.9148,3380902.3701,4,0.02241039
4796,24046,414128.2556,3390885.0836,3,0.02241033
4797,26665,416761.0524,3392722.4324,2,0.0224095
4798,23158,408585.9931,3390287.1776,3,0.02240899
4799,12841,408417.3701,3382671.3422,2,0.0224089
4800,28275,411263.5321,3393944.5019,4,0.02240864
4801,38662,402563.1994,3405009.0851,1,0.02240847
4802,38736,402105.0631,3405256.996,1,0.02240847
4803,49949,414268.3785,3396449.3395,2,0.02240824
4804,12759,409502.9706,3382602.6744,3,0.02240704
4805,28044,415224.2846,3393822.6508,3,0.02240664
4806,18219,396103.9409,3386362.0846,4,0.02240638
4807,35460,398420.2801,3400284.3577,2,0.02240578
4808,23469,414840.5577,3390475.5538,3,0.02240556
4809,27309,409931.6017,3393330.2989,4,0.02240515
4810,15566,409660.0636,3384339.6858,4,0.02240461
4811,11141,399204.6829,3381265.4325,3,0.02240381
4812,17261,412086.7108,3385532.0894,3,0.0224033
