排名,节点ID,X坐标,Y坐标,度数,接近中心性
6688,2415,822584.5121,2519000.4725,4,0.0176168
6689,16255,768805.1978,2550418.6383,2,0.01761639
6690,1892,819517.6604,2517702.3226,2,0.01760886
6691,3448,820670.5967,2520952.8337,4,0.01760784
6692,15442,762374.3289,2548915.6098,2,0.01760578
6693,15195,762999.3664,2548643.2761,3,0.01760416
6694,15380,763003.2094,2548878.0539,3,0.01760222
6695,2794,817320.927,2519892.1041,4,0.01759692
6696,15481,763078.8054,2548925.0672,3,0.0175932
6697,2730,825761.7911,2519733.2414,4,0.01759013
6698,17185,765948.8133,2552605.6613,2,0.01758984
6699,3513,824548.5218,2521027.5555,3,0.01758908
6700,1903,819495.8272,2517757.7487,3,0.01758835
6701,2776,817453.396,2519826.5155,3,0.01758795
6702,2470,823988.8372,2519152.685,3,0.01758484
6703,2668,817694.4719,2519493.7669,1,0.01758225
6704,7637,767187.3359,2533634.6941,3,0.01757983
6705,7682,767041.9688,2533701.7467,1,0.01757951
6706,7298,765447.0603,2532146.3224,4,0.01757648
6707,16958,761000.545,2551178.9335,2,0.01757551
6708,7302,765436.9654,2531964.0153,1,0.01757527
6709,3527,820854.2754,2521043.5395,1,0.01757031
6710,15285,763036.2442,2548805.586,3,0.01756995
6711,2512,822359.4311,2519275.1626,3,0.01756934
6712,12258,764785.9109,2543599.5264,2,0.017567
6713,2463,822408.8093,2519150.4686,3,0.0175668
6714,2409,822353.9692,2518980.9042,3,0.01755734
6715,2548,821938.6197,2519338.9709,4,0.01755593
6716,15414,762615.1931,2548894.8477,3,0.01755528
6717,15424,762404.5307,2548864.777,2,0.01755424
6718,2916,821445.4173,2520089.6598,4,0.01754969
6719,15455,762420.4656,2548890.1878,2,0.01754374
6720,2878,821509.0053,2520036.9152,3,0.01754161
6721,15461,762429.4458,2548903.332,2,0.01753948
6722,2888,825264.6668,2520060.4851,3,0.01753711
6723,2734,825771.9118,2519733.5524,4,0.01753631
6724,2688,822100.2329,2519629.3526,3,0.01753474
6725,2759,824089.6607,2519807.9962,3,0.01753386
6726,2557,823980.176,2519383.4544,3,0.01753
6727,3119,820870.7243,2520452.6487,3,0.01752848
6728,15366,763129.4311,2548871.8457,3,0.01752198
6729,7294,765703.3562,2532144.2001,3,0.01751585
6730,7292,765810.5137,2531896.0711,1,0.01751537
6731,2922,816197.9848,2520015.5616,1,0.01751024
6732,2672,824430.0722,2519604.4039,2,0.01750544
6733,2007,819544.2139,2518190.211,3,0.01750516
6734,15101,762958.1731,2548468.4689,3,0.01750423
6735,2763,822073.5328,2519809.7265,3,0.0174938
6736,2782,824722.8487,2519731.2558,1,0.0174884
6737,2686,817927.7444,2519492.8022,1,0.01748669
6738,1994,819305.9601,2518099.1463,1,0.01748457
6739,2774,821875.0982,2519822.9281,3,0.01748445
6740,1621,820982.0055,2516909.7041,3,0.01747619
6741,2822,822202.1805,2519919.8688,1,0.01747296
6742,12243,764785.3478,2543586.64,2,0.017472
6743,10349,764727.2316,2540051.6039,2,0.01747168
6744,2903,824215.4996,2520071.4133,4,0.01747069
6745,17508,761276.8389,2553643.4379,2,0.01747017
6746,2957,824301.0476,2520142.6738,3,0.01746997
6747,2752,815972.7074,2519191.3885,1,0.01746953
6748,15284,763048.455,2548804.0936,3,0.01746901
