排名,节点ID,X坐标,Y坐标,度数,接近中心性
4508,20800,288799.9768,4016169.6539,4,0.01849303
4510,20807,288778.6446,4016179.6747,3,0.01849298
4509,17998,279957.2729,4006739.3881,1,0.01849298
4511,16640,268170.5813,4002766.3244,2,0.01849228
4512,25645,274506.478,4031447.3852,4,0.01849171
4513,27186,270329.2351,4032942.8997,3,0.01849135
4514,28882,278348.1502,4036102.3815,2,0.01849019
4515,19182,244274.4427,4013083.8506,3,0.01848988
4516,19357,244184.2679,4013536.7332,2,0.01848988
4517,18919,244641.3743,4012308.6396,4,0.01848972
4518,17618,230074.7758,4005811.651,4,0.01848944
4519,17413,229477.9401,4005300.0119,1,0.01848804
4520,33359,239456.2426,4064070.9738,1,0.01848564
4521,36971,265711.8277,4002453.5416,3,0.01848562
4522,17177,270861.3554,4004392.5219,1,0.01848334
4523,25931,274347.1868,4031680.2587,3,0.01848185
4524,27205,270239.4187,4032975.642,3,0.0184803
4525,19051,244029.9244,4012805.2328,3,0.01848022
4526,16660,268306.5857,4002962.9024,3,0.01847973
4527,23564,225634.7642,4020524.9304,2,0.01847939
4528,20307,225823.5537,4015611.2603,2,0.01847888
4529,18700,239056.2885,4011143.1704,3,0.01847751
4530,16950,277342.8917,4004401.2776,3,0.01847679
4531,30693,292289.5689,4040768.874,3,0.01847666
4532,27983,276244.3196,4034032.8316,4,0.01847545
4533,33328,238681.471,4063670.6566,1,0.01847503
4534,33329,238353.3017,4063730.4387,1,0.01847503
4536,28613,267526.3803,4035090.3734,1,0.01847362
4535,28588,267448.3352,4034971.2321,1,0.01847362
4537,27133,270004.6221,4032835.929,1,0.01847356
4538,25900,274522.0808,4031665.5286,3,0.018473
4539,26953,268632.3603,4032641.0,3,0.0184724
4540,28851,274455.6264,4035917.2478,3,0.01847122
4541,29720,275545.054,4038349.7324,1,0.01847088
4542,36942,265577.3702,4002181.2447,1,0.0184707
4543,32248,294113.6047,4046496.374,3,0.01846985
4544,33033,227069.7965,4057344.3792,1,0.01846916
4545,30191,292165.3994,4039338.0194,2,0.01846686
4546,28403,271102.1595,4034177.1247,1,0.01846542
4547,15795,264264.2822,4000470.5916,4,0.01846462
4548,26243,269828.9552,4031932.0227,4,0.01846377
4549,16100,266119.2479,4001179.029,3,0.01846318
4550,17097,269701.1202,4004733.7102,2,0.01846297
4551,32661,242195.2093,4050063.7008,2,0.01846277
4552,20469,250542.677,4015813.5049,3,0.01846194
4553,28991,278010.9416,4036575.8207,4,0.01846153
4554,17700,270989.7482,4005999.9521,1,0.01846145
4555,29947,275985.0475,4038976.3668,4,0.01846045
4556,27332,275326.4174,4033158.9579,3,0.01846006
4557,36967,268009.4281,4002444.2914,4,0.01845955
4558,27356,274815.4336,4033172.5375,3,0.01845952
4559,16456,267588.1578,4002064.4239,3,0.01845841
4560,26560,268743.7694,4032216.4873,4,0.01845715
4561,28412,271370.4203,4034511.4297,3,0.01845682
4562,20470,250520.7143,4015809.4707,2,0.01845648
4563,29766,292768.2071,4038623.3674,4,0.0184561
4564,26664,268762.9073,4032324.0238,3,0.01845569
4565,30303,292128.7994,4039623.7426,3,0.01845556
4566,27372,275276.2525,4033186.4975,3,0.01845417
4567,32927,240437.8427,4055521.7821,2,0.01845172
4568,29337,292704.7538,4037653.2409,2,0.01845141
4569,25503,266236.84,4031302.9101,1,0.01845108
4570,30304,292159.8551,4039378.0738,2,0.01844869
4571,23494,230229.9842,4021100.309,1,0.01844846
4572,29525,275888.6749,4038226.5226,3,0.01844843
4573,26247,269042.7518,4031927.2712,1,0.0184484
4574,21371,254707.7783,4016907.9246,4,0.0184483
4575,27295,275760.5858,4033130.5015,1,0.01844699
4576,30367,276899.812,4039987.7037,3,0.01844686
4577,33724,227706.0886,4072607.2865,3,0.01844684
4578,27399,275299.2485,4033225.7371,3,0.01844676
4579,23565,225648.3713,4020525.267,2,0.01844547
4580,27364,275342.7721,4033172.9556,3,0.01844488
4581,29939,276019.035,4038970.8548,4,0.01844488
4582,32677,228298.1148,4046062.79,1,0.01844452
4583,32684,236044.4334,4050623.7061,1,0.01844452
4584,20489,250602.7059,4015824.532,3,0.01844421
4586,28050,275687.7964,4034082.8828,4,0.01844406
4585,16536,273352.0883,4002399.4766,4,0.01844406
4587,17615,274767.9181,4005655.7895,2,0.0184428
4588,21488,254929.2409,4017071.9461,4,0.01844205
4589,32153,293064.4004,4046155.4343,3,0.01844157
4590,27396,270619.7988,4033213.5931,2,0.01844108
4591,33725,224166.2236,4073074.5606,3,0.01844062
4592,33587,227634.7253,4070310.7511,4,0.01843969
4593,29837,292063.4345,4038789.1542,1,0.01843905
4594,34192,265992.661,4076154.1781,2,0.01843871
4595,25959,271514.1656,4031696.82,3,0.01843512
4596,34194,267021.0224,4077881.8118,2,0.01843383
4597,29159,277521.3809,4037270.3359,4,0.01843245
4598,26413,272857.1164,4031904.4721,2,0.01843227
4599,16605,261619.7799,4002673.7398,1,0.01843219
4600,16642,268220.0635,4002752.9312,4,0.01843211
4601,37012,266021.4397,4002738.4454,2,0.01843204
4602,21346,255074.5525,4016892.6435,3,0.01843193
4603,28535,277478.9981,4034813.4595,3,0.01843173
4604,31929,293445.5978,4045082.6818,4,0.01843124
4605,29130,278073.9093,4037228.5735,3,0.01843088
4606,30071,276314.0018,4039098.7829,3,0.01843065
4607,16745,273563.8231,4003595.5617,3,0.01843011
4608,16061,266336.4426,4001054.2048,4,0.01842996
4610,32931,240607.3262,4055410.1895,2,0.01842909
4609,21212,254891.7713,4016716.3343,4,0.01842909
4611,16996,238850.6301,4004522.0252,4,0.01842775
4612,29179,274666.9503,4037332.1089,4,0.01842742
4613,21351,254519.7785,4016900.9376,3,0.01842706
4614,27080,271097.7258,4032746.8938,4,0.0184269
4615,29098,274632.9741,4037090.1279,1,0.01842647
4616,37049,265969.5334,4002769.3399,4,0.01842603
4617,16734,268857.8085,4003559.9577,1,0.0184246
4618,15875,265956.5965,4000623.2399,3,0.01842419
4619,27755,271559.6704,4033732.4178,3,0.01842401
