u,v,euclid_dist,source
11690,13486,3343.9,vaccine
12299,13491,4438.5,vaccine
10018,28359,3221.4,vaccine
9920,15007,3344.7,vaccine
15796,18657,4637.4,vaccine
9102,11612,1088.1,vaccine
10791,15010,1902.8,vaccine
8180,15855,4829.9,vaccine
7230,12652,3363.9,vaccine
14539,19891,4470.6,vaccine
14125,15762,2709.2,vaccine
13171,19711,4184.9,vaccine
11078,15085,1820.8,vaccine
9943,11906,1852.9,vaccine
9386,18824,4859.7,vaccine
8184,12770,2376.8,vaccine
9305,28535,1684.4,vaccine
8097,11734,2280.2,vaccine
9920,28555,3134.1,vaccine
15164,18742,3688.8,vaccine
15708,18750,4808.3,vaccine
6712,6904,711.2,vaccine
14351,20660,4478.8,vaccine
4804,5336,4665.4,vaccine
6026,7844,4213.0,vaccine
15913,18869,1770.3,vaccine
11078,28862,4914.5,vaccine
9235,11990,1835.6,vaccine
10232,28859,2593.3,vaccine
7301,12915,3358.0,vaccine
13310,15487,3952.0,vaccine
15099,18826,3694.5,vaccine
16674,28622,2582.4,vaccine
11990,16996,3965.2,vaccine
6712,12770,4489.6,vaccine
10069,12158,4444.6,vaccine
10252,18988,4804.9,vaccine
6870,9900,3463.4,vaccine
8346,13063,2321.9,vaccine
7319,9906,3741.2,vaccine
15855,18933,4459.6,vaccine
9153,12099,4626.2,vaccine
12652,15536,1890.8,vaccine
7239,12997,3643.8,vaccine
14571,21244,4186.7,vaccine
11167,17342,3410.8,vaccine
4926,5506,3547.0,vaccine
7571,10069,3071.1,vaccine
8299,8861,1871.4,vaccine
6819,10006,2975.0,vaccine
15190,18988,3411.4,vaccine
5416,5631,3614.5,vaccine
11170,13692,3894.0,vaccine
12094,15666,2571.7,vaccine
10359,19325,4995.3,vaccine
9423,15062,3453.8,vaccine
8495,9044,1784.0,vaccine
8621,15053,4045.9,vaccine
11110,11170,835.8,vaccine
6937,10252,4614.7,vaccine
15934,19261,3850.9,vaccine
14847,15010,4380.6,vaccine
7455,8950,2025.9,vaccine
16926,17363,2438.4,vaccine
11245,13839,2305.6,vaccine
6871,13228,4189.3,vaccine
13324,15865,1584.0,vaccine
7627,10404,2319.3,vaccine
7692,15085,3870.5,vaccine
15387,28622,1895.7,vaccine
13568,16025,2795.7,vaccine
15306,19325,3623.4,vaccine
14807,15062,1029.4,vaccine
10551,14102,4997.6,vaccine
12683,15934,1717.0,vaccine
9516,15202,2562.4,vaccine
10430,18251,4056.7,vaccine
7627,16266,4831.2,vaccine
17363,18086,696.4,vaccine
12851,16095,2017.0,vaccine
13439,16146,1502.3,vaccine
12165,12923,3071.0,vaccine
9704,15342,3386.4,vaccine
11267,18485,4263.0,vaccine
10450,14281,2488.0,vaccine
19004,21014,3445.3,vaccine
8557,9423,538.0,vaccine
5813,8413,4603.2,vaccine
6495,7060,2412.7,vaccine
14880,15202,2658.3,vaccine
19306,21244,3331.4,vaccine
12755,16266,3081.1,vaccine
9623,15387,3575.3,vaccine
