u,v,euclid_dist,source
18069,22602,3824.1,vaccine
20459,24999,4050.2,vaccine
29002,32196,2095.2,vaccine
31078,49148,2886.1,vaccine
25278,29306,2900.2,vaccine
20813,21022,3724.4,vaccine
10815,13264,2220.1,vaccine
19018,22779,3198.7,vaccine
20759,25278,4088.2,vaccine
29871,30869,2524.5,vaccine
16008,20030,4925.5,vaccine
26406,29573,2615.2,vaccine
17851,22669,4041.4,vaccine
22409,27244,3547.1,vaccine
23242,27285,3018.9,vaccine
28774,50298,4580.3,vaccine
20761,21161,3777.0,vaccine
23085,24260,3301.2,vaccine
16958,18917,4221.6,vaccine
28363,28657,2026.2,vaccine
32404,32973,2181.2,vaccine
18322,48408,1873.3,vaccine
15920,18802,2972.5,vaccine
30260,34953,4019.3,vaccine
22350,27412,3682.1,vaccine
16097,20207,3573.7,vaccine
14624,16299,1187.5,vaccine
18211,23085,4062.2,vaccine
14218,20181,4585.4,vaccine
18271,48568,4577.3,vaccine
25282,29704,4293.6,vaccine
27858,32196,2913.4,vaccine
19146,24999,4714.9,vaccine
30144,35031,4264.6,vaccine
17130,19061,2170.3,vaccine
14808,20230,4583.1,vaccine
22602,24146,3096.9,vaccine
36643,37272,2035.8,vaccine
20199,25279,4800.2,vaccine
29445,30871,3189.4,vaccine
20896,24023,2144.6,vaccine
24884,48022,4971.3,vaccine
25499,26615,2997.9,vaccine
16975,19111,4240.8,vaccine
36810,37749,4689.6,vaccine
23700,28062,3233.2,vaccine
11515,16557,4954.9,vaccine
22544,24281,3099.9,vaccine
32003,33404,1053.0,vaccine
23982,47999,4132.6,vaccine
20180,25331,3797.3,vaccine
29639,49577,2963.3,vaccine
30730,49593,4017.8,vaccine
17565,48433,2511.9,vaccine
24642,26628,1881.3,vaccine
20233,25546,4318.2,vaccine
20229,24303,4483.4,vaccine
21139,24338,4188.1,vaccine
47703,48027,3356.2,vaccine
17919,48582,3130.5,vaccine
31913,33679,2283.2,vaccine
24146,29704,3819.9,vaccine
21645,24404,3314.4,vaccine
24057,48433,4127.5,vaccine
24578,26743,3262.4,vaccine
18471,21645,2808.7,vaccine
29704,49885,1765.1,vaccine
28809,31438,2011.1,vaccine
49885,50503,3095.6,vaccine
21387,24568,2378.7,vaccine
47738,48570,2784.1,vaccine
18925,47711,1490.2,vaccine
28110,32769,2579.1,vaccine
48763,51594,4264.4,vaccine
31004,31993,4892.0,vaccine
29599,31903,4372.3,vaccine
13985,19213,4288.9,vaccine
24293,26633,3827.4,vaccine
18839,47747,3172.0,vaccine
10137,12541,2804.2,vaccine
20792,47964,2169.1,vaccine
5377,7763,4623.9,vaccine
36403,38546,3018.6,vaccine
19681,47911,1524.9,vaccine
17680,22167,4139.6,vaccine
26138,29084,4771.8,vaccine
19005,47905,1223.8,vaccine
24353,30572,4211.7,vaccine
23121,26743,3095.8,vaccine
24991,30720,3999.7,vaccine
29216,49892,2127.5,vaccine
20030,47989,3646.2,vaccine
18917,22422,3854.8,vaccine
14197,19503,4909.2,vaccine
18928,47964,4140.5,vaccine
26038,29141,2967.4,vaccine
24294,30792,4702.1,vaccine
29111,49929,2034.3,vaccine
20859,24688,3774.9,vaccine
23473,48682,4659.4,vaccine
32252,34666,3586.4,vaccine
19061,24590,4256.6,vaccine
19787,24597,3523.1,vaccine
28546,31903,2178.2,vaccine
16960,20124,3237.5,vaccine
16008,16111,2071.0,vaccine
26596,32922,4568.9,vaccine
22409,23390,1559.1,vaccine
15931,19963,3942.9,vaccine
23242,23393,3927.7,vaccine
20160,24757,3097.0,vaccine
20813,24779,3647.1,vaccine
7215,8678,4585.9,vaccine
19011,24688,4322.3,vaccine
21107,24965,2642.5,vaccine
23390,27537,3140.6,vaccine
12849,16111,2157.1,vaccine
18350,22512,3482.9,vaccine
30073,34898,4359.0,vaccine
25462,29175,3356.9,vaccine
9342,13006,3965.5,vaccine
24711,49377,3613.4,vaccine
23653,30793,4490.5,vaccine
23393,23988,4647.4,vaccine
14218,16291,1101.0,vaccine
19146,20780,2356.5,vaccine
22623,49173,3265.5,vaccine
27771,32190,2962.9,vaccine
28593,32195,2588.7,vaccine
14808,16518,1707.4,vaccine
25472,26551,4475.1,vaccine
24597,29291,3620.7,vaccine
23982,29282,3672.6,vaccine
