u,v,euclid_dist,source
4596,5857,2887.8,vaccine
323,485,742.9,vaccine
4395,5988,4022.1,vaccine
12287,12454,736.1,vaccine
18205,18557,4948.2,vaccine
18249,19384,4079.1,vaccine
3080,3959,3398.8,vaccine
12698,14091,4778.6,vaccine
5966,6490,2479.6,vaccine
17977,18641,3787.8,vaccine
405,841,2282.0,vaccine
6484,20333,4780.2,vaccine
13767,16210,4792.9,vaccine
5604,5947,2077.4,vaccine
8465,9885,3339.7,vaccine
347,912,3530.1,vaccine
6340,6490,537.2,vaccine
446,1006,4453.1,vaccine
4060,4225,2587.0,vaccine
3921,5324,4470.7,vaccine
6415,6596,795.4,vaccine
2513,3119,2561.2,vaccine
1297,2319,4908.8,vaccine
5655,6194,1986.2,vaccine
1257,2433,4158.0,vaccine
2642,3361,2798.4,vaccine
2078,2319,4278.6,vaccine
4434,4780,4532.6,vaccine
1735,2642,2397.1,vaccine
11519,11735,4095.0,vaccine
2013,2433,1662.9,vaccine
3208,3361,3791.6,vaccine
5138,5441,601.1,vaccine
2818,3765,3593.7,vaccine
2210,2642,4935.9,vaccine
4823,6194,3468.8,vaccine
18275,18816,3178.7,vaccine
470,1023,4004.2,vaccine
1858,3843,4247.9,vaccine
2758,3856,2799.1,vaccine
3843,4313,4861.2,vaccine
12732,13364,1633.3,vaccine
2099,2814,2839.1,vaccine
3308,3765,4433.9,vaccine
435,1135,4647.5,vaccine
1809,3921,4597.8,vaccine
9260,11118,4423.2,vaccine
14488,15577,2090.5,vaccine
598,1280,3785.7,vaccine
2467,3843,4869.3,vaccine
4201,4313,2973.4,vaccine
13653,15177,3338.7,vaccine
1750,2699,2860.8,vaccine
5853,6393,3585.0,vaccine
5024,6477,4213.4,vaccine
1645,2818,2988.5,vaccine
995,1645,3335.9,vaccine
2321,2699,1747.8,vaccine
1890,3004,2942.9,vaccine
1185,1837,4545.9,vaccine
10700,11972,4492.1,vaccine
3749,5138,4286.5,vaccine
2176,2818,2119.4,vaccine
6018,6561,2748.2,vaccine
3004,4000,2822.8,vaccine
16861,18512,4542.8,vaccine
18405,18514,4915.4,vaccine
2470,3004,2716.9,vaccine
3719,3921,1783.7,vaccine
11751,13567,3345.2,vaccine
1936,3227,3704.5,vaccine
18576,18627,902.3,vaccine
17822,18372,4900.7,vaccine
16580,18542,4696.9,vaccine
18598,19546,2499.0,vaccine
2358,3085,4445.2,vaccine
18249,18512,2233.7,vaccine
18528,18684,3159.8,vaccine
2606,3227,1346.4,vaccine
4380,5984,3975.0,vaccine
417,640,1715.9,vaccine
628,941,3110.5,vaccine
9564,11509,4911.8,vaccine
4313,4552,2549.2,vaccine
645,1923,4306.5,vaccine
16250,16284,2003.9,vaccine
357,810,3223.1,vaccine
3655,5439,4906.8,vaccine
4153,5440,3882.2,vaccine
5978,6234,3655.6,vaccine
842,2267,4236.7,vaccine
2047,3241,2455.1,vaccine
11143,11614,2301.6,vaccine
434,1001,4418.2,vaccine
973,2513,3918.2,vaccine
6401,6572,1208.7,vaccine
11467,11509,1715.2,vaccine
10886,11687,3004.9,vaccine
18542,18686,1665.0,vaccine
1261,2267,2418.9,vaccine
928,2606,4490.9,vaccine
2173,3709,3483.3,vaccine
11242,11761,3327.9,vaccine
484,1261,4539.7,vaccine
1747,2513,2650.4,vaccine
4100,4310,4443.2,vaccine
2061,3762,3822.7,vaccine
18641,18959,2291.8,vaccine
1596,2606,2878.3,vaccine
8171,10115,4434.1,vaccine
2848,3709,1744.3,vaccine
2356,3864,4152.0,vaccine
2319,2513,1874.2,vaccine
