u,v,euclid_dist,source
4938,6842,3950.6,vaccine
4416,5420,4387.4,vaccine
5127,5429,4794.6,vaccine
4427,6260,4452.1,vaccine
5497,13831,3311.0,vaccine
4354,5491,4876.1,vaccine
5491,6842,2924.8,vaccine
4978,7095,4044.3,vaccine
4954,5420,2489.7,vaccine
1089,1775,4336.2,vaccine
5600,7583,4128.4,vaccine
6935,7589,1827.7,vaccine
1905,2006,4161.8,vaccine
2900,3691,4256.2,vaccine
6021,6842,1443.2,vaccine
5543,7095,4591.8,vaccine
1043,1772,4939.8,vaccine
1579,1775,3307.8,vaccine
7298,7589,525.5,vaccine
1664,1818,4142.4,vaccine
6208,7095,2054.3,vaccine
6237,7643,2752.8,vaccine
4412,13710,2356.3,vaccine
1612,1853,4847.1,vaccine
2445,2872,4470.3,vaccine
4030,4572,4205.0,vaccine
4355,4577,2506.8,vaccine
1619,2143,2356.0,vaccine
6643,7279,2469.1,vaccine
4577,5575,4500.1,vaccine
4315,4572,2660.3,vaccine
5127,13736,4109.3,vaccine
4439,4939,3203.6,vaccine
393,589,2714.9,vaccine
2828,2953,830.7,vaccine
5126,5575,2717.7,vaccine
5030,13767,2983.3,vaccine
6958,13754,4863.9,vaccine
5607,6218,4052.5,vaccine
7103,13806,3671.8,vaccine
5575,13767,1875.6,vaccine
1632,1857,4890.0,vaccine
3955,4187,3957.6,vaccine
4106,4277,2708.3,vaccine
4845,7367,4985.9,vaccine
6260,6643,4507.8,vaccine
1689,1924,1654.8,vaccine
5365,13754,3036.6,vaccine
7355,13891,2894.8,vaccine
6869,6917,2067.9,vaccine
1931,2000,3491.1,vaccine
7648,8496,3096.0,vaccine
5119,13770,3547.0,vaccine
6950,8300,3301.2,vaccine
1825,1924,1291.6,vaccine
7583,7636,4023.0,vaccine
1725,2027,1835.5,vaccine
5434,13891,3162.7,vaccine
1883,1986,4193.4,vaccine
1775,2086,1510.4,vaccine
4938,5479,1954.7,vaccine
5600,13770,3112.8,vaccine
4944,6643,3742.3,vaccine
2247,2629,3768.2,vaccine
4427,5292,2551.7,vaccine
7095,13904,3698.2,vaccine
4834,5510,2641.3,vaccine
4925,13819,1775.7,vaccine
4354,4427,2878.8,vaccine
1693,1725,2068.8,vaccine
3104,3599,3740.7,vaccine
4978,5600,1427.1,vaccine
6950,13891,3404.5,vaccine
4331,4518,2755.6,vaccine
5429,5510,2814.2,vaccine
4954,14235,4463.9,vaccine
5543,5600,3854.4,vaccine
4951,7088,3429.0,vaccine
1733,1789,3683.8,vaccine
6838,7069,903.6,vaccine
5127,7190,4131.3,vaccine
1786,2115,1810.1,vaccine
5510,7088,2639.7,vaccine
1680,1786,2998.0,vaccine
5030,7265,4479.3,vaccine
1762,1872,1500.2,vaccine
4277,4644,3513.5,vaccine
4630,5799,3489.5,vaccine
5609,7190,4765.9,vaccine
2933,3103,2939.9,vaccine
495,536,4619.4,vaccine
5429,8086,4884.3,vaccine
4406,4439,1736.6,vaccine
1466,1888,3302.9,vaccine
7103,7324,2943.1,vaccine
4644,13719,3749.5,vaccine
5575,7265,4772.4,vaccine
4577,4644,2380.7,vaccine
5595,7880,4141.4,vaccine
5729,7339,3388.4,vaccine
1799,2268,4589.4,vaccine
4518,13733,2340.8,vaccine
1685,1888,2008.7,vaccine
4306,5005,4288.4,vaccine
7738,8457,2341.4,vaccine
5365,7193,3346.1,vaccine
1421,1579,2834.4,vaccine
4822,5635,4172.1,vaccine
5064,6208,3343.3,vaccine
2958,3104,3197.8,vaccine
5434,7343,4343.9,vaccine
5366,13884,2964.4,vaccine
4939,6204,3291.0,vaccine
5592,6208,1925.4,vaccine
1486,1893,3220.9,vaccine
7088,13783,3521.6,vaccine
2900,3145,3481.2,vaccine
5368,7436,3748.6,vaccine
10345,10424,4484.5,vaccine
4845,6356,4773.4,vaccine
3103,3225,850.4,vaccine
5505,7595,3886.9,vaccine
5635,13884,4023.1,vaccine
5497,6204,3962.8,vaccine
1701,1893,2371.2,vaccine
1087,1221,4658.5,vaccine
1515,1983,4900.5,vaccine
5005,7427,4871.8,vaccine
5656,7436,3454.1,vaccine
7171,14221,4173.3,vaccine
1533,2362,3364.7,vaccine
6950,7343,2283.2,vaccine
