u,v,euclid_dist,source,detour_ratio
26103,26894,389.7439986315985,detour,5.777370099025469
24636,24722,389.91488290915834,articulation,
24070,24142,390.06490191355203,community,
25348,25358,390.15686074521517,bridge,
19132,19408,390.2571053241163,community,
25550,25554,390.96212465112137,bridge,
15692,16224,390.9861081586984,bridge,
752,754,391.0251369842629,bridge,
6779,6929,391.04639802060996,detour,5.01792254107932
23384,23458,391.82933281165435,bridge,
26821,26827,392.3950439545808,bridge,
14048,28731,392.4108391091967,detour,9.680388475727721
1863,1932,392.4722274746697,community,
24352,24394,392.5203810915704,detour,42.4149423939246
25503,25571,394.2762335401481,bridge,
16186,16935,394.43439714276656,bridge,
26103,26897,395.026855605036,detour,5.759675974150911
23389,23435,395.3000555728202,bridge,
17220,17232,396.24720101036314,detour,8.048127379056796
27600,27604,396.7218798672559,bridge,
2474,2478,397.13711907432327,articulation,
17710,17712,397.42351364119804,articulation,
750,777,397.5104690686474,articulation,
25127,25173,397.6407993874005,articulation,
11056,12008,397.66310078682625,detour,5.736951053580501
11911,13151,398.2234512683533,detour,13.974071549359895
26008,26091,398.64607408090967,articulation,
22303,22305,398.7400503875348,bridge,
2243,2245,399.079204271386,bridge,
3323,3335,399.1199152180663,bridge,
182,202,399.2806172493394,articulation,
14472,14583,399.3052218323647,bridge,
5476,5492,399.47572679612273,bridge,
15854,16186,399.97337386966484,bridge,
19914,21123,400.2028004101664,bridge,
456,570,400.42481302639374,bridge,
26044,26124,400.665045754313,articulation,
364,788,401.015795287737,detour,22.193372513390617
18321,18718,401.2256245595911,community,
27301,27309,401.3070163996908,bridge,
26585,26683,401.9426287633932,bridge,
13289,13668,402.26616179782553,bridge,
7491,28450,402.42213979526235,bridge,
3037,3055,402.4271741919434,detour,9.712512244048567
12958,13495,403.74697833541325,community,
6268,6296,404.90930788849784,bridge,
24412,24499,405.48697597470897,articulation,
3784,3902,405.53207039637294,detour,81.93306106092561
23570,23632,405.5609298180326,community,
12818,13523,405.6058742497187,community,
25593,25613,405.81919050608485,bridge,
5197,5209,406.3102049273102,bridge,
22652,22752,406.4357485034961,articulation,
6707,6804,407.0927492578606,detour,5.715323687658763
25134,25185,407.3243271946982,articulation,
13151,13257,407.54943673627827,articulation,
6779,6783,408.2219685430283,detour,5.62980731831448
24327,24352,408.67534202143247,bridge,
25382,25384,409.3881844096087,articulation,
1970,1976,409.495710880748,detour,9.652936457831444
22988,23103,409.5953273503095,community,
21354,21518,409.75917965195634,community,
21360,21373,410.2591544151766,bridge,
364,763,410.38426722841666,detour,19.848312255660367
20967,21227,411.08093407464503,community,
26237,26256,411.41884085477324,bridge,
3414,3421,411.9073771477699,bridge,
15984,16536,411.9843275585394,detour,9.463502220009081
15984,16402,412.16055799861596,detour,8.995343683002455
26058,26124,412.93286421155943,articulation,
11909,13151,413.9464000080823,detour,13.81935171125868
3465,3470,414.8542258211099,bridge,
25856,25883,415.2462116884419,community,
14395,14472,415.8165889269925,bridge,
15984,16401,415.9021872011531,detour,8.165344870118886
27836,27857,416.0075214926676,bridge,
26988,27000,416.0347108836237,articulation,
11375,12008,416.4640453667013,detour,5.0027628349754245
12818,13495,416.52427266399513,detour,5.861140733552751
2090,2106,417.1888326729199,bridge,
21903,22267,419.0629723860109,detour,5.213141019566369
1863,1944,419.1221299287199,community,
22849,23052,420.87316137120706,bridge,
1372,1381,421.5324424196342,bridge,
1248,1311,421.55594321261543,articulation,
20873,21181,421.78737478136463,bridge,
6760,6779,422.0755309792438,detour,5.269882095298791
1967,1976,422.11964668380756,detour,9.42571033374973
16386,17220,422.80677089395084,detour,5.567919118029131
15968,16444,423.0198059866889,community,
24410,24481,423.0883702952202,articulation,
27923,27926,423.65523602951026,bridge,
5416,5464,424.511668049522,bridge,
25127,25178,424.99761796440555,articulation,
24012,24048,425.3292461811808,articulation,
24012,24042,425.3308760857342,articulation,
1970,1975,425.35138662570273,detour,9.57263485368103
24635,24722,425.3825594754201,articulation,
11840,13151,425.8141538323265,detour,13.099215715513743
9942,10076,426.13415542734504,bridge,
20634,20846,426.19922001786864,community,
852,861,426.7655040207332,bridge,
2078,2087,427.2315132500986,bridge,
15984,16332,427.3358901277044,detour,9.150220210639874
1382,1399,428.33567448881274,articulation,
23391,23393,428.68056885920436,bridge,
1369,1406,428.82811951622597,bridge,
18089,18293,429.3649824550348,bridge,
3455,3514,429.45806875135946,bridge,
386,484,429.909003164871,bridge,
1863,1893,430.5824149181624,community,
27076,27104,430.8378596149393,bridge,
23985,24059,431.00425520670063,detour,17.35700818019968
3277,3283,431.17817363369255,bridge,
14584,15317,433.0091760664554,bridge,
15626,16402,433.67076091110357,detour,8.955838174655357
27721,27740,434.33270314756146,articulation,
12008,12076,435.32215605870607,detour,5.293714793547439
4020,4045,435.7387590767147,bridge,
1967,1975,436.0421351571709,detour,9.397428865762544
2656,2657,436.46513697944016,bridge,
25127,25191,436.60721705673706,articulation,
2503,2513,436.65840645748233,community,
26420,26440,436.7729829827592,articulation,
15626,16332,436.97768310911687,detour,9.35191187230889
3786,3902,437.0158928032225,detour,76.1201422906801
20473,20989,437.24177619452144,bridge,
27591,27593,437.809116553986,bridge,
25137,25227,438.2010739908341,articulation,
26357,26366,438.40718112476435,bridge,
24638,24722,438.646464255462,articulation,
6670,6743,438.68286102978584,bridge,
1951,1954,438.78632619830614,bridge,
24407,24499,439.254531245268,articulation,
24291,24323,439.92072171835446,articulation,
25290,25320,439.9949583104712,articulation,
25120,25172,440.8579619188477,bridge,
335,385,441.31656104643366,bridge,
717,719,441.3284724022363,bridge,
17794,18321,441.4792037123481,bridge,
3154,3162,441.5765953118611,bridge,
675,752,441.72990473289417,articulation,
22662,22840,441.7835698330956,detour,7.6572504413837885
27907,27909,441.9738803080533,bridge,
15984,16331,442.2759447310742,detour,8.639671397069781
